ID	Template
45	What do [EC1] [PC1] [EC2] [EC3]
91	What [EC1] [PC1] not [EC2]
93	What is [EC1]
66	What is [EC1] [PC1] [EC2]
38	What is [EC1] for [EC2]
60	What is [EC1] of [EC2]
61	What is [EC1] of [EC2] for [EC3]
65	What is [EC1] of [EC2] that [PC1] [EC3]
62	What is [EC1] of [EC2] that have [EC3]
63	What is [EC1] of [EC2] that have [EC3] and [EC4]
64	What is [EC1] of [EC2] that have [EC3] as [EC4]
67	What is the difference between [EC1] and [EC2]
70b	What kind of [EC1] is [EC2]
70	What type of [EC1] is [EC2]
71	What types of [EC1] [PC1] [EC1]
70a	What types of [EC1] are [EC2]
72	When [PC1] [EC1] of [EC2] [PC1]
75	Where [PC1] [EC1]
11	Where [PC1] [EC1] [PC1]
76	Where [PC1] [EC1] for [EC2]
75a	Where [PC1] I [PC1] [EC1]
75b	Where [PC1] I [PC1] [EC1] [PC1]
76a	Where [PC1] I [PC1] [EC1] for [EC2]
73	Where do I categorise [EC1] like [EC2]
74	Where is [EC1] of [EC2]
74a	Where's [EC1] of [EC2]
81	Which [EC1] [PC1] [EC2]
82	Which [EC1] [PC1] [EC2] [PC1]
82a	Which [EC1] [PC1] I [PC1] [EC2] [PC1]
83a	Which [EC1] [PC1] I [PC1] to [PC2] [EC2]
83	Which [EC1] [PC1] to [PC2] [EC2]
78a	Which [EC1] are [EC2]
79a	Which [EC1] are [EC2] of [EC3]
78	Which [EC1] is [EC2]
79	Which [EC1] is [EC2] of [EC3]
80	Which [EC1] is there for [EC2] and what [PC1] [EC3] [PC1]
77	Which are [EC1]
90	Which [EC1] does not [PC1] [EC2]
84	Which is [EC1] [PC1] [EC2]
78c	Which kind of [EC1] are [EC2]
85	Which of the [EC1] and [EC2] [PC1] [EC3] [PC1]
92	Which types are disjoint from [EC1]
88	Who [PC1] [EC1]
87	Who [PC1] [EC1] [EC2]
89	Who [PC1] [EC1] for [EC2]
7	Who [PC1] [EC1] or [PC2] [EC2]
86a	Who are [EC1] of [EC2]
87a	Who else [PC1] [EC1] [EC2]
86	Who is [EC1] of [EC2]
